PRODUCT DESCRIPTION,IMPORTER,IMPORTER ENTITY,SHIPPER,ARRIVAL DATE,TEU,GROSS WEIGHT (LB),GROSS WEIGHT (KG),FOREIGN PORT,US PORT,VESSEL NAME,COUNTRY OF ORIGIN,MARKS & NUMBERS,IMPORTER ADDRESS,SHIPPER ADDRESS,ZIP CODE,NO. OF CONTAINERS,CONTAINER NUMBER,CONTAINER TYPE,QUANTITY,QUANTITY UNIT,MEASUREMENT,MEASUREMENT UNIT,BILL OF LADING,HOUSE VS MASTER,DISTRIBUTION PORT,MASTER B/L,VOYAGE NUMBER,SEAL,SHIPMENT REGISTERED IN,IN-BOND ENTRY TYPE,CARRIER CODE,CARRIER NAME,CARRIER CITY,CARRIER STATE,CARRIER ZIP,CARRIER ADDRESS,NOTIFY PARTY,NOTIFY ADDRESS,PLACE OF RECEIPT
ALASKA STRONG HS CODE ALASKA BRIGHT HS CODE ALASKA STRONG HS CODE ALASKA BRIGHT HS CODE,MM BOARD & PAPER USA INC.,MM BOARD & PAPER USA INC,MM KOTKAMILLS BOARDS OY,2025-12-30,8,151224,68738,Wilhelmshaven,"New York/Newark Area, Newark, New Jersey",MAERSK PUELO,Germany,MMP INVENTORY . MMP INVENTORY . MMP INVENTORY . MMP INVENTORY .,5126 SOUTH ROYAL ATLANTA DRIVE GA 30084 TUCKER USA,P.O. BOX 62-63 FI-48101 KOTKA FINNLAND,30084,4,TEMU6573129 NIDU5214069 FANU1422100 TCKU6599290,4510 4510 4510 4510,54,PCS,0,,HLCUHAM2511ARNE0,,,,550W,HDL1341973 HLD1341973 HLD1341959 HLD1341974 HDL0268827 HLD0268827,PANAMA,,HLCU,HAPAG LLOYD A G,HAMBURG,,,399 HOES LN,JOHN A. STEER CO.,"2100 CORAL WAY, SUITE 501 MIAMI, FLORIDA USA EMAIL D.PROCACCINOJASTEER.COM","KOTKA, FI"
AIR ALASKA RAMEKIN GOLD SS,DESTER NORTH AMERICA INC,DESTER CORPORATION,QINGYUAN OMEDA METALLIC ELECTRICAL,2025-12-29,0.08731714673503242,1274,579,Yantian,"Seattle, Washington",SM QINGDAO,China,COMPANY ALASKA AIRLINES,"3305 142ND AVENUE E SUMNER, WA 98390 US",FUQIANG NAN ROAD HEXING INDUSTRIAL ZONE QINGCHENG DISTRICT QINGYUAN CN,98390,1,SMCU1309762,4FG0,93,CTN,0,CM,SHPT25SZX280218U,H,,SMLMSZP5K4369200,2508E,SML213802,"KOREA, REPUBLIC OF",,SHPT,SHIPCO TRANSPORT INC,HOBOKEN,NJ,07030,80 WASHINGTON STREET,DESTER NORTH AMERICA INC,"3305 142ND AVENUE E SUMNER, WA 98390 US",SHENZHEN
"FISH FILLET,MEAT FRE/CHI/FRO, ALASKA POLLACK (THERAGRA CHALCOGRAMMA) AND FROZEN POLLOCK FILLETS",SAMSKIP LOGISTICS INC,SAMSKIP LOGISTICS INC,SAMSKIP LOGISTICS (QINGDAO),2025-12-28,2,50134,22788,Ching Tao,"Tacoma, Washington",HMM VANCOUVER,China,NO MARKS,". 3500 188TH SW SUITE 328 LYNNWOOD, W A 98037 PHONE: LYNNWOOD WA 98037 US","CO., LTD. ROOM 2810, TOWER A, TOP YIHE INTERN ATIONAL BUILDIN QINGDAO 37 266000 C TE N",98037,1,ONEU9423674,4FR0,3600,CTN,45,CM,ONEYTAOFJ7206800,M,,,302E,CN62892AY,"KOREA, REPUBLIC OF",,ONEY,ORATEL NETWORKS,TORONTO,ON,M5X 1C7,100 KING STREET WEST SUITE 5700,SAMSKIP LOGISTICS INC,". 3500 188TH SW SUITE 328 LYNNWOOD, W A 98037 PHONE: LYNNWOOD WA 98037 US","QINGDAO, SHANDONG"
"FROZEN MSC PINK SALMON SKINLESS PORTION .MAAK OR SALES CONTRACT PO #: S - .FISHIN PO #: PO .FIN #: - .PRODUCT NAME AND SIZE: PINK SALMON PORTION X LB .NUMBER OF CASES AND LBS: CTNS, LBS .PACKER'S MSC #: MSC-C- .FISH REGION:ALASKA GULF, USA FAO .COUNTRY OF ORIGIN:CHINA .BE, ST BY DATE: / / .MANUFACTURER'S NAME: QINGDAO JIAODONG FOODSTUFFS DEVELOPMENT CO.,LTD ADDRESS:TAIWAN INDUSTRIAL DISTRICT LANZHOU EAST ROAD JIAOZHOU QINGDAO CHINA PLANT #:FN FDA REGISTRATION NUMBER: THIS SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIALS TEMP: - 'C VENT:CLOSED","THE FISHIN&APOS; COMPANY,",THE FISHIN & APOS COMPANY,QINGDAO JIAODONG FOODSTUFFS,2025-12-27,2,47740,21700,Pusan,"Mobile, Alabama",VALIANT,South Korea,N/M,"3714 MAIN STREET,MUNHALL, PA 15120U SA .","DEVELOPMENT CO.,LTD TAIWAN INDUSTRI AL DISTRICT LANZHOU EAST ROAD JIAOZ HOU QINGDAO CHINA",,1,FSCU5780547,45R1,3300,CTN,0,,SAACAGTAO521959,H,,MEDUKP841092,544E,FX42591026,MALTA,,SAAC,SANTIAGO & ASSOCIATES INC,ST LOUIS,MO,63141,5 THE PINES CT #5C,"JOHN S. CONNOR INC.,","799 CROMWELL PARK DRIVE,SUITE A-G,G LEN BURNIE, MD 21061,USA .",QINGDAO
"ALUMINIUM CAN TOTAL CORRUGATED BOXES PACKED IN PALLET ALUMINIUM CAN EMPTY PRINTED CANS FOR BEAR SPRAY GUARD ALASKA PRINTED EMPTY CAN ( X MM) ( ), REGISTRATION NO M INVOICE NO AT/EXP/ - / ; INVOICE DATE - - NET WEIGHT KGS HS CODE FREIGHT PREPAID SCAC CODE SWLV HBL ACD WILL FILED BE USX FAX NO. / PAN NO.AAICS N. GST AAICS N ZU A/C. ANEETA TECHNOPACK PVT LTD XX EMAIL OPERATIONSSMARTMODE.NET CSSMARTMODE.NET DOCSSMARTMODE.NET",SMARTMODE INTERNATIONAL LOGISTICS,SMARTMODE INTERNATIONAL LOGISTICS,SAFEWATER LINES INDIA PRIVATE,2025-12-27,1,4836,2198,Mundra,"Norfolk, Virginia",TIRUA,India,NO MARKS . . . . . . . . . . . . . . . . . . . . .,LLC 525 MILLTOWN ROAD SUITE 305 NORTH BRUNSWICK NJ 08902 PHONE +17324225016,"LIMITED 401-A/402,FILIX,4TH FLOOR L.B.S.MARG,BHANDUP(WEST), MUMBAI-400 078",08902,1,HLBU3898177,,584,PCS,0,,HLCUBO1251183189,M,,,5146,HLK2846379,LIBERIA,61,HLCU,HAPAG LLOYD A G,HAMBURG,,,399 HOES LN,SMARTMODE INTERNATIONAL LOGISTICS,LLC 525 MILLTOWN ROAD SUITE 305 NORTH BRUNSWICK NJ 08902 PHONE +17324225016,"MUNDRA, IN"
"ALASKA YELLOW CEDAR KILN DRIED LUMBER HS CODE . SPECIES CHAMAECYPARIS NOOTKATENSIS , FBM CERS SC",BBS TIMBERS LTD.,BBS TIMBERS LTD,-NOT AVAILABLE-,2025-12-27,2,50314,22870,"Vancouver, BC","Oakland, California",ANL WARRNAMBOOL,Canada,NO MARKS . . . . .,27 KIOREROA ROAD WHANGAREI 0140 NZ TEL 64 09 4389 358 FAX 64 09 4300 455 EMAIL SHIPPINGBBSTIMBERS.CO.NZ,-NOT AVAILABLE-,,1,FANU1749690,4510,20,PCS,0,,HLCUVAN251017682,,,,551S,2509423,MALTA,,HLCU,HAPAG LLOYD A G,HAMBURG,,,399 HOES LN,BBS TIMBERS LTD.,27 KIOREROA ROAD WHANGAREI 0140 NZ TEL 64 09 4389 358 FAX 64 09 4300 455 EMAIL SHIPPINGBBSTIMBERS.CO.NZ,"VANCOUVER, BC, CA"
"FROZEN ALASKA POLLOCK BLOCK FROZEN ALASKA POLLOCK BLOCK VENT CLOSED X 'RH FREIGHT PREPAID THIS SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIAL., REEFER CONTAINER TEMPERATURE SET AT - . C.",HIGH LINER FOODS (USA) INCORPORATED,HIGH LINER FOODS INC,"YANTAI YUZE FOODSTUFFS CO.,LTD.",2025-12-26,2,57068,25940,Ching Tao,"Norfolk, Virginia",COSCO SHIPPING AZALEA,China,N/M N/M THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME,"1 HIGHLINER AVENUE PORTSMOUTH, NEW HAMPSHIRE 03801",PINGLI VILLAGE CHAOSHUI TOWN YANTAI ETDZ SHANDONG CHINA,03801,1,EMCU5635974,45R1,803,CTN,45,X,EGLV140557349342,,,,033E,EMCSUT7114,HONG KONG,,EGLV,EVERGREEN LINE,TAOYUAN HSIEN 338,,,NO 163 SEC 1 HSIN-NAN ROAD LUCHU HSIAN,QUARTZ LOGISTICS(NY) INC.,"182-23 150TH AVE., 2ND FLOOR,SUITE E SPRINGFIELD GARDENS,NY 11413 TEL:516-226-3610 FAX:516-226-3613","QINGDAO, CHINA"
"FROZEN MSC ALASKA POLLOCK FILLETS FROZEN MSC ALASKA POLLOCK FILLETS VENT CLOSED X 'RH FREIGHT PREPAID THIS SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIAL., TEMPERATURE SET AT - . C. REEFER CONTAINER",HIGH LINER FOODS (USA) INCORPORATED,HIGH LINER FOODS INC,"YANTAI YONGYUAN FOODSTUFF CO.,LTD.",2025-12-26,2,58300,26500,Ching Tao,"Norfolk, Virginia",COSCO SHIPPING AZALEA,China,N/M N/M THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME THE SAME,"1 HIGHLINER AVENUE PORTSMOUTH, NEW HAMPSHIRE 03801",DAJIJIA YANTAI E.T.D.Z. SHANDONG CHINA,03801,1,EMCU5603133,45R1,1234,CTN,40,X,EGLV140557349351,,,,033E,EMCSUT7144,HONG KONG,,EGLV,EVERGREEN LINE,TAOYUAN HSIEN 338,,,NO 163 SEC 1 HSIN-NAN ROAD LUCHU HSIAN,QUARTZ LOGISTICS(NY) INC.,"182-23 150TH AVE., 2ND FLOOR, SUITEE SPRINGFIELD GARDENS,NY 11413 TEL:516-226-3610 FAX:516-226-3613 EMAIL:NYCOP@QUARTZ-LOGISTICS.COM","QINGDAO, CHINA"
"FROZEN MSC PINK SALMON SKIN-ON PORTION .MAAK OR SALES CONTRACT PO #: S - .FISHIN PO #: PO .FIN #: - .PRODUCT NAME AND SIZE: PINK SALMON PORTION X LB .NUMBER OF CASES AND LBS: CTNS, LBS .PACKER'S MSC #: MSC-C- .FISH REGION:ALASKA GULF, USA FAO .COUNTRY OF ORIGIN:CHINA .BES, T BY DATE: / / .MANUFACTURER'S NAME: QINGDAO JIAODONG FOODSTUFFS DEVELOPMENT CO.,LTD ADDRESS:TAIWAN INDUSTRIAL DISTRICT LANZHOU EAST ROAD JIAOZHOU QINGDAO CHINA PLANT #:FN FDA REGISTRATION NUMBER: THIS SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIALS TEMP: - 'C VENT:CLOSED","THE FISHIN&APOS; COMPANY,",THE FISHIN & APOS COMPANY,QINGDAO JIAODONG FOODSTUFFS DEVELOP,2025-12-26,2,47740,21700,Pusan,"Mobile, Alabama",TIANJIN,South Korea,N/M,"3714 MAIN STREET,MUNHALL, PA 15120U SA .","MENT CO.,LTD TAIWAN INDUSTRIAL DIST RICT LANZHOU EAST ROAD JIAOZHOU QIN GDAO CHINA",,1,MSDU9123710,45R1,3300,CTN,0,,SAACAGTAO526215,H,,MEDUR9118403,59E,FX44028052,LIBERIA,,SAAC,SANTIAGO & ASSOCIATES INC,ST LOUIS,MO,63141,5 THE PINES CT #5C,"JOHN S. CONNOR INC.,","799 CROMWELL PARK DRIVE,SUITE A-G,G LEN BURNIE, MD 21061,USA .",QINGDAO
"FROZEN MSC PINK SALMON SKIN-ON PORTION .MAAK OR SALES CONTRACT PO #: S - .FISHIN PO #: PO .FIN #: - .PRODUCT NAME AND SIZE: PINK SALMON PORTION X LB .NUMBER OF CASES AND LBS: CTNS, LBS .PACKER'S MSC #: MSC-C- .FISH REGION:ALASKA GULF, USA FAO .COUNTRY OF ORIGIN:CHINA .BES, T BY DATE: / / .MANUFACTURER'S NAME: QINGDAO JIAODONG FOODSTUFFS DEVELOPMENT CO.,LTD ADDRESS:TAIWAN INDUSTRIAL DISTRICT LANZHOU EAST ROAD JIAOZHOU QINGDAO CHINA PLANT #:FN FDA REGISTRATION NUMBER: THIS SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIALS TEMP: - 'C VENT:CLOSED",RX SHIPPING AGENCY INC,RX SHIPPING AGENCY INC,SHANGHAI ATLANTIC GATE FORWARDING L,2025-12-26,2,47740,21700,Pusan,"Mobile, Alabama",TIANJIN,South Korea,N/M SAME SAME SAME SAME SAME SAME SAME SAME SAME SAME SAME SAME SAME,25 POWER ST HICKSVILLE NY 11801 UNITED STATES,ROOM 1904-05 INTERNATIONAL CAPITAL SHANGHAI 31 200000 CHINA,11801,1,MSDU9123710,45R1,3300,CTN,50,X,MEDUR9118403,M,,,59E,FX44028052,LIBERIA,,MEDU,MSC MEDITTERRANEAN SHIPPING COMPANY SA,GENEVA,,,,RX SHIPPING AGENCY INC,25 POWER ST HICKSVILLE NY 11801 UNITED STATES,QINGDAO
"FROZEN MSC PINK SALMON SKINLESS PORTION .MAAK OR SALES CONTRACT PO #: S - .FISHIN PO #: PO .FIN #: - .PRODUCT NAME AND SIZE: PINK SALMON PORTION X LB .NUMBER OF CASES AND LBS: CTNS, LBS .PACKER'S MSC #: MSC-C- .FISH REGION:ALASKA GULF, USA FAO .COUNTRY OF ORIGIN:CHINA .BE, ST BY DATE: / / .MANUFACTURER'S NAME: QINGDAO JIAODONG FOODSTUFFS DEVELOPMENT CO.,LTD ADDRESS:TAIWAN INDUSTRIAL DISTRICT LANZHOU EAST ROAD JIAOZHOU QINGDAO CHINA PLANT #:FN FDA REGISTRATION NUMBER: THIS SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIALS TEMP: - 'C VENT:CLOSED",RX SHIPPING AGENCY INC,RX SHIPPING AGENCY INC,SHANGHAI ATLANTIC GATE FORWARDING L,2025-12-26,2,47740,21700,Pusan,"Mobile, Alabama",TIANJIN,South Korea,N/M SAME SAME SAME SAME SAME SAME SAME SAME SAME SAME SAME SAME SAME,25 POWER ST HICKSVILLE NY 11801 UNITED STATES,ROOM 1904-05 INTERNATIONAL CAPITAL SHANGHAI 31 200000 CHINA,11801,1,MSDU9123201,45R1,3300,CTN,50,X,MEDUR9247954,M,,,59E,FX44028051,LIBERIA,,MEDU,MSC MEDITTERRANEAN SHIPPING COMPANY SA,GENEVA,,,,RX SHIPPING AGENCY INC,25 POWER ST HICKSVILLE NY 11801 UNITED STATES,QINGDAO
"FROZEN ALASKA POLLOCK FILLETS SHIPPER STATES THAT THIS SHIPMENT CONTAINS NO SOLID WOOD PACKING MATERIALS TEMPERATURE SET AT - . C (- . F), FRESH AIR EXCHANGE RATE SET AT CUBICMETERPERHOUR( . CUBICFEETPERMINUTE)",LAWRENCE WHOLESALE LLC,LAWRENCE WHOLESALE LLC,DALIAN HONGDAO MARINE PRODUCTS,2025-12-26,2,50497,22953,Ching Tao,"Long Beach, California",CSCL SOUTH CHINA SEA,China,N/M,4353 EXCHANGE AVE. 58307 VERNON CA UNITED STATES TE 2357535,DA YU TUN VILLAGE HEIDAO TOWN DALIAN LN CHINA TE 82592546,58307,1,FBIU5669276,45R1,4210,CTN,0,CM,OOLU2315402420,,,,079E,OOLKNS1559,HONG KONG,,OOLU,ORIENT OVERSEAS CONTAINER LINE LTD,,,,4141 HACIENDA DR,FLEGENHEIMER INTERNATIONAL INC.,227 W. GRAND AVE. EL SEGUNDO CA UNITED STATES,DALIAN
"FROZEN ALASKAN COD LOIN PORTION . OZ TOTAL NET WEIGHT: , . KGS","POLAR BAY FOODS, INC.",POLAR BAY FOODS INC,-NOT AVAILABLE-,2025-12-26,2,43560,19800,Vung Tau,"Long Beach, California",COSCO SHIPPING DENALI,Vietnam,NO MARKS NO MARKS NO MARKS,1417 238TH AVE SE SAMMAMISH WA 98075 US,-NOT AVAILABLE-,98075,1,FSCU5361345,45R1,3600,CTN,37,X,BANQ1071091110,H,,COSU6437619780,050E,31297558,HONG KONG,,BANQ,BLUE ANCHOR LINE,HONG KONG,,,25/F FLEET HOUSE 38 GLOUCESTER ROAD,"POLAR BAY FOODS, INC.",1417 238TH AVE SE SAMMAMISH WA 98075 US,HO CHI MINH CITY
FROZEN ALASKA POLLOCK FILLET,ARCTIC FISHERIES LTD.,ARCTIC FISHERIES LTD,"DALIAN SHENGJIE AQUATIC FOOD CO.,LT",2025-12-23,2,52800,24000,Ching Tao,"Boston, Massachusetts",EVER FOCUS,China,NO MARKS,"965 MARYVALE DR. BUFFALO, NY 14225U SA .",SHIHUIYAO VILLAGE LANDIAN COUNTRY Z HUANGHE CITY DALIAN CHINA .,,1,EMCU5579973,45R1,1100,CTN,0,,SYLCDLC25110061,H,,EGLV144500275334,026E,EMCQEZ1814,PANAMA,,SYLC,,,,,,B&A BROKERS INC,"150 WOOD ROAD SUITE 404 BRAINTREE,M A 02184 .",DALIAN
